Run	analyte_type	Host_site	host_sex	SCiMS sample ID	Rx	Rx 95% CI	Ry	Ry 95% CI
SRR533210	Anterior_nares	Anterior nares	male	SRR533210	inf	(nan, nan)	0.8	(0.449, 1.151)
SRR539546	Anterior_nares	Anterior nares	female	SRR539546	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545358	Anterior_nares	Anterior nares	female	SRR545358	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539566	R_Retroauricular_crease	Oral cavity	female	SRR539566	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532861	Anterior_nares	Anterior nares	female	SRR532861	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR640528	R_Retroauricular_crease	Oral cavity	female	SRR640528	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539479	Anterior_nares	Anterior nares	male	SRR539479	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR514839	Stool	Stool	female	SRR514839	1.144	(0.894, 1.394)	0.0	(0.0, 0.0)
SRR533768	Anterior_nares	Anterior nares	male	SRR533768	inf	(nan, nan)	0.5	(0.01, 0.99)
SRR1031584	Anterior_nares	Anterior nares	male	SRR1031584	inf	(nan, nan)	0.6667	(0.133, 1.2)
SRR1568858	Anterior_nares	Anterior nares	male	SRR1568858	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531508	Anterior_nares	Anterior nares	male	SRR531508	inf	(nan, nan)	0.5	(0.1, 0.9)
SRR545344	Anterior_nares	Anterior nares	female	SRR545344	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532325	R_Retroauricular_crease	Oral cavity	female	SRR532325	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638747	Anterior_nares	Anterior nares	male	SRR638747	inf	(nan, nan)	0.8182	(0.59, 1.046)
SRR640446	Anterior_nares	Anterior nares	male	SRR640446	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR540477	Anterior_nares	Anterior nares	female	SRR540477	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR541277	Anterior_nares	Anterior nares	female	SRR541277	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR061187	Stool	Stool	female	SRR061187	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532815	Anterior_nares	Anterior nares	female	SRR532815	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533677	Anterior_nares	Anterior nares	female	SRR533677	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031749	Anterior_nares	Anterior nares	male	SRR1031749	inf	(nan, nan)	0.7143	(0.38, 1.049)
SRR638788	R_Retroauricular_crease	Oral cavity	female	SRR638788	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532865	R_Retroauricular_crease	Oral cavity	female	SRR532865	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR541262	R_Retroauricular_crease	Oral cavity	female	SRR541262	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532426	Anterior_nares	Anterior nares	female	SRR532426	inf	(nan, nan)	0.3333	(-0.044, 0.711)
SRR638818	Anterior_nares	Anterior nares	male	SRR638818	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR638832	Anterior_nares	Anterior nares	male	SRR638832	inf	(nan, nan)	0.6667	(0.133, 1.2)
SRR540862	Anterior_nares	Anterior nares	female	SRR540862	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532310	Anterior_nares	Anterior nares	female	SRR532310	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540883	Anterior_nares	Anterior nares	male	SRR540883	inf	(nan, nan)	0.8889	(0.684, 1.094)
SRR1031940	Anterior_nares	Anterior nares	male	SRR1031940	inf	(nan, nan)	0.6667	(0.133, 1.2)
SRR1571603	Anterior_nares	Anterior nares	male	SRR1571603	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR533778	Anterior_nares	Anterior nares	female	SRR533778	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR061145	Stool	Stool	female	SRR061145	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531513	Anterior_nares	Anterior nares	female	SRR531513	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539934	Anterior_nares	Anterior nares	female	SRR539934	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1568889	Anterior_nares	Anterior nares	female	SRR1568889	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533794	R_Retroauricular_crease	Oral cavity	female	SRR533794	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR061486	Stool	Stool	male	SRR061486	inf	(nan, nan)	0.6667	(0.133, 1.2)
SRR540758	Anterior_nares	Anterior nares	female	SRR540758	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540476	R_Retroauricular_crease	Oral cavity	female	SRR540476	inf	(nan, nan)	0.1429	(-0.116, 0.402)
SRR532316	Anterior_nares	Anterior nares	female	SRR532316	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533795	Anterior_nares	Anterior nares	female	SRR533795	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532837	R_Retroauricular_crease	Oral cavity	female	SRR532837	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540871	R_Retroauricular_crease	Oral cavity	female	SRR540871	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1571143	Anterior_nares	Anterior nares	male	SRR1571143	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR569352	Anterior_nares	Anterior nares	female	SRR569352	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539911	Anterior_nares	Anterior nares	female	SRR539911	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031123	Anterior_nares	Anterior nares	male	SRR1031123	inf	(nan, nan)	0.5714	(0.205, 0.938)
SRR1568885	Anterior_nares	Anterior nares	male	SRR1568885	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR531401	Anterior_nares	Anterior nares	male	SRR531401	inf	(nan, nan)	0.8	(0.449, 1.151)
SRR533789	Anterior_nares	Anterior nares	female	SRR533789	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638801	Anterior_nares	Anterior nares	female	SRR638801	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545513	Anterior_nares	Anterior nares	female	SRR545513	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539545	R_Retroauricular_crease	Oral cavity	female	SRR539545	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR062388	Stool	Stool	male	SRR062388	inf	(nan, nan)	0.1667	(-0.044, 0.378)
SRR640414	Anterior_nares	Anterior nares	male	SRR640414	inf	(nan, nan)	0.9	(0.714, 1.086)
SRR540448	Anterior_nares	Anterior nares	female	SRR540448	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533689	R_Retroauricular_crease	Oral cavity	female	SRR533689	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533770	Anterior_nares	Anterior nares	female	SRR533770	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638810	Anterior_nares	Anterior nares	female	SRR638810	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537967	Anterior_nares	Anterior nares	female	SRR537967	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031467	Anterior_nares	Anterior nares	male	SRR1031467	inf	(nan, nan)	0.5	(0.154, 0.846)
SRR540463	Anterior_nares	Anterior nares	female	SRR540463	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR511518	Saliva	Oral cavity	female	SRR511518	inf	(nan, nan)	0.5	(0.01, 0.99)
SRR531511	Anterior_nares	Anterior nares	male	SRR531511	inf	(nan, nan)	0.9091	(0.739, 1.079)
SRR540481	Anterior_nares	Anterior nares	female	SRR540481	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540872	Anterior_nares	Anterior nares	female	SRR540872	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545253	Anterior_nares	Anterior nares	female	SRR545253	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR063468	Stool	Stool	female	SRR063468	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533798	Anterior_nares	Anterior nares	female	SRR533798	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539667	Anterior_nares	Anterior nares	female	SRR539667	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537913	Anterior_nares	Anterior nares	female	SRR537913	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1564890	Anterior_nares	Anterior nares	male	SRR1564890	inf	(nan, nan)	0.75	(0.326, 1.174)
SRR1571078	Anterior_nares	Anterior nares	male	SRR1571078	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR640400	Anterior_nares	Anterior nares	male	SRR640400	inf	(nan, nan)	0.6667	(0.133, 1.2)
SRR539913	Anterior_nares	Anterior nares	female	SRR539913	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540467	Anterior_nares	Anterior nares	female	SRR540467	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532486	Anterior_nares	Anterior nares	female	SRR532486	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532864	Anterior_nares	Anterior nares	female	SRR532864	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539255	Anterior_nares	Anterior nares	female	SRR539255	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537922	Anterior_nares	Anterior nares	female	SRR537922	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1571644	Anterior_nares	Anterior nares	female	SRR1571644	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531571	Anterior_nares	Anterior nares	male	SRR531571	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR531577	Anterior_nares	Anterior nares	female	SRR531577	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638755	Anterior_nares	Anterior nares	female	SRR638755	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638789	Anterior_nares	Anterior nares	male	SRR638789	inf	(nan, nan)	0.5	(0.154, 0.846)
SRR1568900	Anterior_nares	Anterior nares	male	SRR1568900	inf	(nan, nan)	0.6154	(0.351, 0.88)
SRR545259	R_Retroauricular_crease	Oral cavity	female	SRR545259	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531388	Anterior_nares	Anterior nares	female	SRR531388	0.7763	(0.554, 0.999)	0.0	(0.0, 0.0)
SRR638824	Anterior_nares	Anterior nares	female	SRR638824	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540454	Anterior_nares	Anterior nares	female	SRR540454	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537949	Anterior_nares	Anterior nares	male	SRR537949	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR1568872	Anterior_nares	Anterior nares	male	SRR1568872	0.7493	(0.525, 0.974)	0.6	(0.171, 1.029)
SRR1569391	Anterior_nares	Anterior nares	male	SRR1569391	inf	(nan, nan)	0.8889	(0.684, 1.094)
SRR537959	R_Retroauricular_crease	Oral cavity	female	SRR537959	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545492	R_Retroauricular_crease	Oral cavity	female	SRR545492	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532872	Anterior_nares	Anterior nares	male	SRR532872	inf	(nan, nan)	0.6667	(0.359, 0.975)
SRR638758	Anterior_nares	Anterior nares	male	SRR638758	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR640374	Anterior_nares	Anterior nares	male	SRR640374	inf	(nan, nan)	0.8421	(0.678, 1.006)
SRR537956	Anterior_nares	Anterior nares	female	SRR537956	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532854	R_Retroauricular_crease	Oral cavity	female	SRR532854	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539556	R_Retroauricular_crease	Oral cavity	female	SRR539556	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638814	Anterior_nares	Anterior nares	female	SRR638814	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR640353	Anterior_nares	Anterior nares	male	SRR640353	inf	(nan, nan)	0.8333	(0.535, 1.132)
SRR539928	Anterior_nares	Anterior nares	female	SRR539928	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531573	Anterior_nares	Anterior nares	male	SRR531573	inf	(nan, nan)	0.75	(0.326, 1.174)
SRR532296	Anterior_nares	Anterior nares	female	SRR532296	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533799	Anterior_nares	Anterior nares	male	SRR533799	inf	(nan, nan)	0.6667	(0.4, 0.933)
SRR537948	Anterior_nares	Anterior nares	female	SRR537948	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR640413	Anterior_nares	Anterior nares	male	SRR640413	inf	(nan, nan)	0.5714	(0.205, 0.938)
SRR640549	Anterior_nares	Anterior nares	female	SRR640549	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545508	R_Retroauricular_crease	Oral cavity	female	SRR545508	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532488	Anterior_nares	Anterior nares	female	SRR532488	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532789	Anterior_nares	Anterior nares	male	SRR532789	inf	(nan, nan)	0.8571	(0.674, 1.04)
SRR545379	Anterior_nares	Anterior nares	female	SRR545379	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545495	Anterior_nares	Anterior nares	female	SRR545495	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539544	Anterior_nares	Anterior nares	female	SRR539544	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533790	R_Retroauricular_crease	Oral cavity	female	SRR533790	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1571611	Anterior_nares	Anterior nares	female	SRR1571611	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533426	Anterior_nares	Anterior nares	female	SRR533426	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031489	Anterior_nares	Anterior nares	female	SRR1031489	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR061495	Stool	Stool	male	SRR061495	0.2453	(0.184, 0.306)	0.5	(0.01, 0.99)
SRR533211	Anterior_nares	Anterior nares	male	SRR533211	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR346656	Stool	Stool	female	SRR346656	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533678	Anterior_nares	Anterior nares	male	SRR533678	inf	(nan, nan)	0.2857	(-0.049, 0.62)
SRR539534	Anterior_nares	Anterior nares	female	SRR539534	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531572	Anterior_nares	Anterior nares	male	SRR531572	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR1569289	Anterior_nares	Anterior nares	male	SRR1569289	inf	(nan, nan)	0.6667	(0.359, 0.975)
SRR532867	R_Retroauricular_crease	Oral cavity	female	SRR532867	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539635	Anterior_nares	Anterior nares	male	SRR539635	inf	(nan, nan)	0.8571	(0.674, 1.04)
SRR540901	Anterior_nares	Anterior nares	male	SRR540901	inf	(nan, nan)	0.6667	(0.4, 0.933)
SRR1031202	Anterior_nares	Anterior nares	female	SRR1031202	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638796	Anterior_nares	Anterior nares	male	SRR638796	inf	(nan, nan)	0.8571	(0.598, 1.116)
SRR533773	Anterior_nares	Anterior nares	female	SRR533773	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540480	Anterior_nares	Anterior nares	female	SRR540480	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR541131	Anterior_nares	Anterior nares	female	SRR541131	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031062	Anterior_nares	Anterior nares	male	SRR1031062	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR533688	R_Retroauricular_crease	Oral cavity	female	SRR533688	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539925	R_Retroauricular_crease	Oral cavity	female	SRR539925	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR346691	Stool	Stool	female	SRR346691	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539565	Anterior_nares	Anterior nares	male	SRR539565	inf	(nan, nan)	0.8462	(0.65, 1.042)
SRR540868	R_Retroauricular_crease	Oral cavity	female	SRR540868	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537955	Anterior_nares	Anterior nares	female	SRR537955	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533692	R_Retroauricular_crease	Oral cavity	female	SRR533692	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR541154	R_Retroauricular_crease	Oral cavity	female	SRR541154	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531679	Anterior_nares	Anterior nares	male	SRR531679	inf	(nan, nan)	0.7778	(0.506, 1.049)
SRR533669	Anterior_nares	Anterior nares	female	SRR533669	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533683	Anterior_nares	Anterior nares	female	SRR533683	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR538200	Anterior_nares	Anterior nares	female	SRR538200	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638836	Anterior_nares	Anterior nares	female	SRR638836	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR541267	R_Retroauricular_crease	Oral cavity	female	SRR541267	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540913	Anterior_nares	Anterior nares	male	SRR540913	inf	(nan, nan)	0.4	(-0.029, 0.829)
SRR533783	R_Retroauricular_crease	Oral cavity	female	SRR533783	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533220	Anterior_nares	Anterior nares	male	SRR533220	inf	(nan, nan)	0.6667	(0.133, 1.2)
SRR540864	Anterior_nares	Anterior nares	female	SRR540864	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532327	Anterior_nares	Anterior nares	male	SRR532327	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR534443	Anterior_nares	Anterior nares	male	SRR534443	inf	(nan, nan)	0.8571	(0.674, 1.04)
SRR540459	Anterior_nares	Anterior nares	male	SRR540459	inf	(nan, nan)	0.8571	(0.707, 1.007)
SRR532314	Anterior_nares	Anterior nares	male	SRR532314	inf	(nan, nan)	0.6	(0.296, 0.904)
SRR540479	Anterior_nares	Anterior nares	male	SRR540479	inf	(nan, nan)	0.5	(0.1, 0.9)
SRR540494	Anterior_nares	Anterior nares	male	SRR540494	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR540881	Anterior_nares	Anterior nares	female	SRR540881	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR531512	Anterior_nares	Anterior nares	male	SRR531512	inf	(nan, nan)	0.9167	(0.76, 1.073)
SRR531569	Anterior_nares	Anterior nares	male	SRR531569	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540475	Anterior_nares	Anterior nares	female	SRR540475	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1031305	Anterior_nares	Anterior nares	male	SRR1031305	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR061172	Stool	Stool	female	SRR061172	2.5344	(1.872, 3.197)	0.0	(0.0, 0.0)
SRR545503	Anterior_nares	Anterior nares	female	SRR545503	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537924	Anterior_nares	Anterior nares	male	SRR537924	inf	(nan, nan)	0.3333	(-0.2, 0.867)
SRR1031307	Anterior_nares	Anterior nares	male	SRR1031307	inf	(nan, nan)	0.7143	(0.521, 0.908)
SRR541138	R_Retroauricular_crease	Oral cavity	female	SRR541138	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532875	Anterior_nares	Anterior nares	female	SRR532875	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540483	Anterior_nares	Anterior nares	female	SRR540483	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR540498	Anterior_nares	Anterior nares	female	SRR540498	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545493	Anterior_nares	Anterior nares	female	SRR545493	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1569275	Anterior_nares	Anterior nares	female	SRR1569275	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR580929	Anterior_nares	Anterior nares	male	SRR580929	inf	(nan, nan)	0.7273	(0.464, 0.99)
SRR541269	R_Retroauricular_crease	Oral cavity	female	SRR541269	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR638812	Anterior_nares	Anterior nares	male	SRR638812	inf	(nan, nan)	0.7273	(0.464, 0.99)
SRR545518	Anterior_nares	Anterior nares	female	SRR545518	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532429	Anterior_nares	Anterior nares	male	SRR532429	inf	(nan, nan)	0.8235	(0.642, 1.005)
SRR533803	Anterior_nares	Anterior nares	female	SRR533803	0.4182	(0.287, 0.549)	0.0	(0.0, 0.0)
SRR640382	Anterior_nares	Anterior nares	male	SRR640382	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539657	Anterior_nares	Anterior nares	female	SRR539657	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537992	Anterior_nares	Anterior nares	male	SRR537992	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR532302	Anterior_nares	Anterior nares	male	SRR532302	inf	(nan, nan)	0.8571	(0.598, 1.116)
SRR533685	Anterior_nares	Anterior nares	female	SRR533685	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR532845	R_Retroauricular_crease	Oral cavity	female	SRR532845	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545245	R_Retroauricular_crease	Oral cavity	female	SRR545245	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR545246	Anterior_nares	Anterior nares	female	SRR545246	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1568990	Anterior_nares	Anterior nares	female	SRR1568990	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537937	R_Retroauricular_crease	Oral cavity	female	SRR537937	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR533412	Anterior_nares	Anterior nares	male	SRR533412	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR537988	Anterior_nares	Anterior nares	female	SRR537988	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR541278	Anterior_nares	Anterior nares	female	SRR541278	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1569939	Anterior_nares	Anterior nares	female	SRR1569939	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1568834	Anterior_nares	Anterior nares	male	SRR1568834	inf	(nan, nan)	0.75	(0.538, 0.962)
SRR1568899	Anterior_nares	Anterior nares	male	SRR1568899	inf	(nan, nan)	0.8571	(0.598, 1.116)
SRR1569294	Anterior_nares	Anterior nares	male	SRR1569294	inf	(nan, nan)	0.6667	(0.289, 1.044)
SRR532859	R_Retroauricular_crease	Oral cavity	female	SRR532859	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1569298	Anterior_nares	Anterior nares	male	SRR1569298	inf	(nan, nan)	0.8947	(0.757, 1.033)
SRR1564234	Anterior_nares	Anterior nares	male	SRR1564234	inf	(nan, nan)	0.5	(0.01, 0.99)
SRR628273	Tongue_dorsum	Oral cavity	female	SRR628273	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1571178	Anterior_nares	Anterior nares	male	SRR1571178	inf	(nan, nan)	0.8571	(0.674, 1.04)
SRR532729	Anterior_nares	Anterior nares	male	SRR532729	inf	(nan, nan)	0.9545	(0.868, 1.042)
SRR540873	Anterior_nares	Anterior nares	female	SRR540873	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR539591	Anterior_nares	Anterior nares	male	SRR539591	inf	(nan, nan)	0.75	(0.45, 1.05)
SRR541284	Anterior_nares	Anterior nares	female	SRR541284	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR537969	Anterior_nares	Anterior nares	female	SRR537969	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR549418	Anterior_nares	Anterior nares	male	SRR549418	inf	(nan, nan)	0.7857	(0.571, 1.001)
SRR533684	Anterior_nares	Anterior nares	female	SRR533684	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR1569947	Anterior_nares	Anterior nares	male	SRR1569947	1.4318	(1.025, 1.839)	0.4545	(0.16, 0.749)
SRR532304	Anterior_nares	Anterior nares	male	SRR532304	inf	(nan, nan)	0.7778	(0.506, 1.049)
SRR537780	Anterior_nares	Anterior nares	male	SRR537780	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR531575	Anterior_nares	Anterior nares	male	SRR531575	inf	(nan, nan)	0.8125	(0.621, 1.004)
SRR532440	Anterior_nares	Anterior nares	male	SRR532440	inf	(nan, nan)	0.75	(0.326, 1.174)
SRR533216	Anterior_nares	Anterior nares	male	SRR533216	inf	(nan, nan)	0.7778	(0.506, 1.049)
SRR638815	Anterior_nares	Anterior nares	female	SRR638815	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR640519	Anterior_nares	Anterior nares	male	SRR640519	inf	(nan, nan)	0.8	(0.552, 1.048)
SRR539561	Anterior_nares	Anterior nares	male	SRR539561	1.2586	(0.733, 1.784)	0.6667	(0.359, 0.975)
SRR1569419	Anterior_nares	Anterior nares	male	SRR1569419	inf	(nan, nan)	0.7692	(0.54, 0.998)
SRR062037	Anterior_nares	Anterior nares	male	SRR062037	0.3667	(0.213, 0.521)	0.7143	(0.38, 1.049)
SRR1031158	Anterior_nares	Anterior nares	male	SRR1031158	inf	(nan, nan)	0.8333	(0.535, 1.132)
SRR1570139	Anterior_nares	Anterior nares	male	SRR1570139	inf	(nan, nan)	0.8333	(0.622, 1.044)
SRR062439	Anterior_nares	Anterior nares	female	SRR062439	inf	(nan, nan)	0.0	(0.0, 0.0)
SRR640407	Anterior_nares	Anterior nares	male	SRR640407	inf	(nan, nan)	0.75	(0.326, 1.174)
SRR540373	Anterior_nares	Anterior nares	female	SRR540373	inf	(nan, nan)	0.0	(0.0, 0.0)
